task_id,question,level,clusters,referred,referred_question
1636,"For account type F, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2494,In the year 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=64 changed to 99?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
2758,"Looking at the year 2023, to which card scheme should the merchant Belles_cookbook_store steer traffic to in order to pay the minimum fees?",hard,"[1681, 1753, 1273]","[1681, 1753, 1273]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
402,What is the average transaction value grouped by issuing_country for Golfclub_Baron_Friso's SwiftCharge transactions between November and December 2023?,hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1457,"For a credit transaction of 1000 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1681]","[1273, 1681]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1444,"For a credit transaction of 1 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1681]","[1273, 1681]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1441,"What is the most expensive MCC for a transaction of 10000 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1734,"For the 365th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2766,"Looking at the year 2023, to which card scheme should the merchant Rafa_AI steer traffic to in order to pay the minimum fees?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2628,"Looking at the month of June, to which card scheme should the merchant Belles_cookbook_store steer traffic in order to pay the minimum fees?",hard,"[1681, 1753, 1273]","[1681, 1753, 1273]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
1462,"For a credit transaction of 10000 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
27,During which hour of the day do the most outlier transactions occur (using Z-Score > 3)?,easy,[5],[5],Which issuing country has the highest number of transactions?
36,What is the average number of transactions per unique shopper based on email addresses?,easy,[5],[5],Which issuing country has the highest number of transactions?
1756,What were the applicable Fee IDs for Belles_cookbook_store in June 2023?,hard,"[1753, 1681]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
13,During which hour of the day do the most transactions occur?,easy,[5],[5],Which issuing country has the highest number of transactions?
1709,"For the 300th of the year 2023, what are the Fee IDs applicable to Rafa_AI?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
382,What is the average transaction value grouped by issuing_country for Belles_cookbook_store's SwiftCharge transactions between November and December 2023?,hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1461,"For a credit transaction of 10000 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,[1273],[1273],"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
2553,"During 2023, imagine if the Fee with ID 64 was only applied to account type R, which merchants would have been affected by this change?",hard,"[1464, 1681, 1753]","[1464, 1681, 1753]","What is the fee ID or IDs that apply to account_type = R and aci = B? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1744,What are the applicable fee IDs for Martinis_Fine_Steakhouse in 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2547,"Imagine the merchant Martinis_Fine_Steakhouse had changed its MCC code to 7523 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
2728,"For Crossfit_Hanna in July, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
1467,What is the fee ID or IDs that apply to account_type = R and aci = E?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
2412,In July 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=384 changed to 99?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
2581,"Looking at the month of January, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic in order to pay the maximum fees?",hard,"[1273, 1681, 1753]","[1273, 1681, 1753]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2768,"Looking at the year 2023 and at the merchant Crossfit_Hanna, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
1698,"For the 365th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
623,What is the average transaction value grouped by device_type for Belles_cookbook_store's TransactPlus transactions between January and February 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2771,"Looking at the year 2023 and at the merchant Rafa_AI, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
5,Which issuing country has the highest number of transactions?,easy,[5],[5],Which issuing country has the highest number of transactions?
2522,"In 2023, which merchants were affected by the Fee with ID 10?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
60,"Across these segments: merchant, issuer country, card_scheme, and shopper interaction, which segment has the worst fraud rate, that we should target for support?",easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
1508,"In the average scenario, which card scheme would provide the most expensive fee for a transaction value of 50 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1295,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 5000 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2623,"Looking at the month of May, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the maximum fees?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1217,What is the average transaction value grouped by shopper_interaction for Rafa_AI's SwiftCharge transactions between May and June 2023?,hard,"[1681, 1753, 2697]","[1681, 1753, 2697]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
67,Which factors contribute to a cheaper fee rate if the factors' value is increased?,easy,[],[],
2264,In April 2023 what delta would Martinis_Fine_Steakhouse pay if the relative fee of the fee with ID=12 changed to 99?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1704,"For the 365th of the year 2023, what are the Fee IDs applicable to Martinis_Fine_Steakhouse?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2463,In December 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=141 changed to 1?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1730,"For the 12th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1301,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 4321 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1711,"For the 10th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2366,In February 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=17 changed to 99?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1750,What are the total fees (in euros) that Rafa_AI paid in 2023?,hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
22,Is there a strong correlation (>0.5) between transaction amount and fraudulent disputes?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
1817,What are the total fees (in euros) that Belles_cookbook_store paid in July 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2770,"Looking at the year 2023 and at the merchant Martinis_Fine_Steakhouse, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
20,Which merchant has the highest number of transactions?,easy,[5],[5],Which issuing country has the highest number of transactions?
29,Is the fraud rate of outliers higher than inliers (using Z-Score > 3) during the year 2023?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
69,What is the highest volume at which the fees do not become cheaper?,easy,[5],[5],Which issuing country has the highest number of transactions?
1728,"For the 365th of the year 2023, what is the total fees (in euros) that Golfclub_Baron_Friso should pay?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
883,What is the average transaction value grouped by aci for Crossfit_Hanna's GlobalCard transactions between January and February 2023?,hard,[1273],[1273],"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
1731,"For the 100th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
45,What is the most frequent card scheme among transactions with missing email addresses?,easy,[5],[5],Which issuing country has the highest number of transactions?
1453,"For a credit transaction of 100 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,[1273],[1273],"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
1477,What is the fee ID or IDs that apply to account_type = H and aci = A?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
47,What percentage of high-value transactions (above the 90th percentile of amount) are made by repeat customers?,easy,[],[],
471,What is the average transaction value grouped by issuing_country for Rafa_AI's TransactPlus transactions between September and October 2023?,hard,[1273],[1273],"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
1715,"For the 300th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",hard,"[1681, 1753, 1273]","[1681, 1753, 1273]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
1808,What were the applicable Fee IDs for Rafa_AI in October 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1446,"For a credit transaction of 1 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1464]","[1273, 1464]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
1688,"For the 12th of the year 2023, what are the Fee IDs applicable to Crossfit_Hanna?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
28,What percentage of outlier transactions are identified as fraudulent (using Z-Score > 3)?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
2521,"In 2023, which merchants were affected by the Fee with ID 1?",hard,"[1681, 1753, 1464]","[1681, 1753, 1464]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
1299,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 1234 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1676,"For account type S, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1420,"For account type H and the MCC description: Taxicabs and Limousines, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals",hard,[1305],[1305],"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1447,"For a credit transaction of 10 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1365,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 4321 EUR? Provide the answer in EUR and 6 decimals",hard,[1305],[1305],"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
32,What percentage of the payments dataset is missing?,easy,[],[],
1434,"What is the most expensive MCC for a transaction of 5 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2526,"In 2023, which merchants were affected by the Fee with ID 709?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2719,"For Golfclub_Baron_Friso in May, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
2229,In December 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=595 changed to 1?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
2407,In June 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=787 changed to 1?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1459,"For a credit transaction of 10000 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
40,What percentage of transactions are considered high-value (above the 90th percentile of amount)?,easy,[5],[5],Which issuing country has the highest number of transactions?
1505,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 10 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2132,In March 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=65 changed to 99?,hard,"[1753, 1871]","[1753, 1871]",What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
2751,"For Rafa_AI in November, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
1297,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 1234 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
46,What percentage of transactions have missing IP addresses and also have a fraudulent dispute?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
1686,"For the 365th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
3,How many transactions have missing IP addresses?,easy,[5],[5],Which issuing country has the highest number of transactions?
1385,"For account type H and the MCC description: Fast Food Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals",hard,[1305],[1305],"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2740,"For Martinis_Fine_Steakhouse in September, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
8,What is the most common shopper interaction type?,easy,[5],[5],Which issuing country has the highest number of transactions?
1465,What is the fee ID or IDs that apply to account_type = R and aci = C?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
2489,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=792 changed to 1?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1646,"For account type F, what would be the average fee that the card scheme NexPay would charge for a transaction value of 4321 EUR? Provide the answer in EUR and 6 decimals.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1277,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 50 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1685,"For the 300th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1445,"For a credit transaction of 1 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1818,What are the total fees (in euros) that Belles_cookbook_store paid in August 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2523,"In 2023, which merchants were affected by the Fee with ID 12?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
26,Which merchant has the highest number of outlier transactions (using Z-Score > 3)?,easy,[5],[5],Which issuing country has the highest number of transactions?
1473,What is the fee ID or IDs that apply to account_type = D and aci = D?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
17,What is the lowest avg fraud rate per merchant for the year 2023?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
1475,What is the fee ID or IDs that apply to account_type = D and aci = F?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
1347,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 100 EUR? Provide the answer in EUR and 6 decimals",hard,[1305],[1305],"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
