task_id,question,input_fields,output_fields,answer,guidelines,level
1462,"For a credit transaction of 10000 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.eur_amount, payments.card_scheme, payments.is_credit, payments.aci",payments.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
27,During which hour of the day do the most outlier transactions occur (using Z-Score > 3)?,"payments.eur_amount, payments.hour_of_day",payments.hour_of_day,,"Answer must be just a number representing the hour of the day. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
36,What is the average number of transactions per unique shopper based on email addresses?,"payments.email_address, payments.psp_reference",,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1756,What were the applicable Fee IDs for Belles_cookbook_store in June 2023?,"payments.merchant, payments.year, payments.day_of_year, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, fees.aci, fees.account_type, fees.capture_delay",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
13,During which hour of the day do the most transactions occur?,payments.hour_of_day,payments.hour_of_day,,"Answer must be just a number representing the hour of the day. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1709,"For the 300th of the year 2023, what are the Fee IDs applicable to Rafa_AI?","payments.merchant, payments.day_of_year, payments.year, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, fees.aci, fees.account_type, fees.capture_delay, merchant_data.merchant, merchant_data.merchant_category_code, merchant_data.account_type, merchant_data.acquirer, payments.is_credit, payments.acquirer_country, acquirer_countries.acquirer, acquirer_countries.country_code, payments.issuing_country",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
382,What is the average transaction value grouped by issuing_country for Belles_cookbook_store's SwiftCharge transactions between November and December 2023?,"payments.merchant, payments.card_scheme, payments.issuing_country, payments.year, payments.day_of_year, payments.eur_amount",compute.fee,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1461,"For a credit transaction of 10000 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.card_scheme, payments.is_credit, payments.eur_amount, payments.aci",payments.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2553,"During 2023, imagine if the Fee with ID 64 was only applied to account type R, which merchants would have been affected by this change?","merchant_data.merchant, merchant_data.account_type, payments.year",merchant_data.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1744,What are the applicable fee IDs for Martinis_Fine_Steakhouse in 2023?,"payments.merchant, payments.year",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2547,"Imagine the merchant Martinis_Fine_Steakhouse had changed its MCC code to 7523 before 2023 started, what amount delta will it have to pay in fees for the year 2023?","payments.merchant, payments.year, fees.merchant_category_code, merchant_data.merchant_category_code, merchant_data.merchant",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2728,"For Crossfit_Hanna in July, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?","payments.merchant, payments.day_of_year, payments.has_fraudulent_dispute, payments.aci, fees.aci, merchant_data.merchant",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1467,What is the fee ID or IDs that apply to account_type = R and aci = E?,"fees.account_type, fees.aci",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2412,In July 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=384 changed to 99?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2581,"Looking at the month of January, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic in order to pay the maximum fees?","payments.merchant, payments.day_of_year, fees.card_scheme",compute.fee,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2768,"Looking at the year 2023 and at the merchant Crossfit_Hanna, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?","payments.year, payments.merchant, payments.has_fraudulent_dispute, payments.aci, payments.shopper_interaction",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1698,"For the 365th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?","payments.merchant, payments.day_of_year, payments.year, fees.merchant_category_code, merchant_data.merchant_category_code, merchant_data.merchant",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
623,What is the average transaction value grouped by device_type for Belles_cookbook_store's TransactPlus transactions between January and February 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.device_type, payments.eur_amount",payments.eur_amount,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2771,"Looking at the year 2023 and at the merchant Rafa_AI, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?","payments.year, payments.merchant, payments.has_fraudulent_dispute, payments.aci, fees.aci",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
5,Which issuing country has the highest number of transactions?,payments.issuing_country,payments.issuing_country,,"Answer must be just the country code. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2522,"In 2023, which merchants were affected by the Fee with ID 10?","payments.merchant, payments.year, fees.ID",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
60,"Across these segments: merchant, issuer country, card_scheme, and shopper interaction, which segment has the worst fraud rate, that we should target for support?","payments.merchant, payments.issuing_country, payments.card_scheme, payments.shopper_interaction, payments.has_fraudulent_dispute, payments.day_of_year",,,"Answer must be a comma separated list with this format: '[merchant], [issuer_country], [card_scheme], [shopper_interaction]'. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1508,"In the average scenario, which card scheme would provide the most expensive fee for a transaction value of 50 EUR?","payments.card_scheme, payments.eur_amount, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, fees.aci, fees.account_type, fees.capture_delay",compute.fee,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1295,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 5000 EUR?","payments.is_credit, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2623,"Looking at the month of May, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the maximum fees?","payments.merchant, payments.year, payments.day_of_year, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, fees.aci, payments.card_scheme, merchant_data.merchant",compute.fee,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1217,What is the average transaction value grouped by shopper_interaction for Rafa_AI's SwiftCharge transactions between May and June 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.shopper_interaction, payments.eur_amount",payments.eur_amount,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
67,Which factors contribute to a cheaper fee rate if the factors' value is increased?,"fees.monthly_volume, fees.is_credit, fees.intracountry",compute.fee,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2264,In April 2023 what delta would Martinis_Fine_Steakhouse pay if the relative fee of the fee with ID=12 changed to 99?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1704,"For the 365th of the year 2023, what are the Fee IDs applicable to Martinis_Fine_Steakhouse?","payments.merchant, payments.day_of_year, payments.year, merchant_data.merchant",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2463,In December 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=141 changed to 1?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1730,"For the 12th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?","payments.merchant, payments.year, payments.day_of_year, payments.eur_amount, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, fees.aci, fees.account_type, fees.capture_delay, merchant_data.merchant, merchant_data.merchant_category_code, merchant_data.capture_delay, merchant_data.acquirer",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1301,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 4321 EUR?","fees.is_credit, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1711,"For the 10th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?","payments.merchant, payments.year, payments.day_of_year, payments.eur_amount, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, merchant_data.capture_delay, payments.is_credit, payments.issuing_country, payments.acquirer_country",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2366,In February 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=17 changed to 99?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1750,What are the total fees (in euros) that Rafa_AI paid in 2023?,"payments.merchant, payments.year, payments.eur_amount",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
22,Is there a strong correlation (>0.5) between transaction amount and fraudulent disputes?,"payments.eur_amount, payments.has_fraudulent_dispute",,,"Answer must be just either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1817,What are the total fees (in euros) that Belles_cookbook_store paid in July 2023?,"payments.merchant, payments.eur_amount, payments.day_of_year, payments.year",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2770,"Looking at the year 2023 and at the merchant Martinis_Fine_Steakhouse, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?","payments.merchant, payments.year, payments.has_fraudulent_dispute, payments.aci, payments.eur_amount",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
20,Which merchant has the highest number of transactions?,payments.merchant,payments.merchant,,"Answer must be just the name of the merchant. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
29,Is the fraud rate of outliers higher than inliers (using Z-Score > 3) during the year 2023?,"payments.has_fraudulent_dispute, payments.year, payments.eur_amount",,,"Answer must either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
69,What is the highest volume at which the fees do not become cheaper?,fees.monthly_volume,fees.monthly_volume,,"Answer must be just the string representing the volume as described in the context provided. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1728,"For the 365th of the year 2023, what is the total fees (in euros) that Golfclub_Baron_Friso should pay?","payments.merchant, payments.day_of_year, payments.year, payments.eur_amount, payments.acquirer_country, fees.intracountry, fees.is_credit, fees.monthly_fraud_level, fees.merchant_category_code, fees.capture_delay, fees.aci, fees.account_type, merchant_data.capture_delay, merchant_data.merchant_category_code, merchant_data.acquirer, payments.is_credit, payments.has_fraudulent_dispute, payments.device_type, payments.acquiring_country, merchant_data.account_type",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
883,What is the average transaction value grouped by aci for Crossfit_Hanna's GlobalCard transactions between January and February 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.aci, payments.eur_amount",compute.fee,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1731,"For the 100th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?","payments.merchant, payments.year, payments.day_of_year, payments.eur_amount, fees.is_credit, fees.intracountry, fees.aci, fees.account_type, fees.capture_delay, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
45,What is the most frequent card scheme among transactions with missing email addresses?,"payments.email_address, payments.card_scheme",payments.card_scheme,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1453,"For a credit transaction of 100 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.card_scheme, payments.eur_amount, payments.is_credit, payments.aci",payments.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1477,What is the fee ID or IDs that apply to account_type = H and aci = A?,"fees.account_type, fees.aci",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
47,What percentage of high-value transactions (above the 90th percentile of amount) are made by repeat customers?,"payments.eur_amount, payments.email_address",,,"Answer must be just a number rounded to 3 decimal places. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
471,What is the average transaction value grouped by issuing_country for Rafa_AI's TransactPlus transactions between September and October 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.eur_amount, payments.issuing_country",payments.eur_amount,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1715,"For the 300th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?","payments.merchant, payments.day_of_year, payments.year, payments.eur_amount",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1808,What were the applicable Fee IDs for Rafa_AI in October 2023?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1446,"For a credit transaction of 1 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.is_credit, payments.eur_amount, payments.card_scheme, payments.aci",payments.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1688,"For the 12th of the year 2023, what are the Fee IDs applicable to Crossfit_Hanna?","payments.merchant, payments.day_of_year, payments.year",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
28,What percentage of outlier transactions are identified as fraudulent (using Z-Score > 3)?,"payments.eur_amount, payments.has_fraudulent_dispute",compute.fee,,"Answer must be just a number rounded to 6 decimal places. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2521,"In 2023, which merchants were affected by the Fee with ID 1?","payments.merchant, payments.year, fees.ID",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1299,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 1234 EUR?","payments.is_credit, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1676,"For account type S, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals.","payments.card_scheme, payments.eur_amount, merchant_data.account_type",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1420,"For account type H and the MCC description: Taxicabs and Limousines, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals","merchant_data.account_type, merchant_category_codes.description, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1447,"For a credit transaction of 10 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.eur_amount, payments.card_scheme, payments.is_credit, payments.aci",payments.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1365,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 4321 EUR? Provide the answer in EUR and 6 decimals","merchant_data.account_type, merchant_category_codes.description, payments.card_scheme, payments.eur_amount, payments.mcc",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
32,What percentage of the payments dataset is missing?,payments.psp_reference,compute.fee,,"Answer must be just a number rounded to 3 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1434,"What is the most expensive MCC for a transaction of 5 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.","payments.eur_amount, merchant_data.merchant_category_code, fees.merchant_category_code",compute.fee,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2526,"In 2023, which merchants were affected by the Fee with ID 709?","payments.merchant, payments.year, fees.ID",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2719,"For Golfclub_Baron_Friso in May, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?","payments.merchant, payments.day_of_year, payments.has_fraudulent_dispute, payments.aci, fees.aci, fees.monthly_fraud_level, fees.is_credit, fees.intracountry, acquirer_countries.acquirer, acquirer_countries.country_code",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2229,In December 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=595 changed to 1?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2407,In June 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=787 changed to 1?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1459,"For a credit transaction of 10000 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.eur_amount, payments.is_credit, payments.card_scheme, payments.aci",payments.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
40,What percentage of transactions are considered high-value (above the 90th percentile of amount)?,payments.eur_amount,payments.eur_amount,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1505,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 10 EUR?","payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2132,In March 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=65 changed to 99?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2751,"For Rafa_AI in November, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?","payments.merchant, payments.day_of_year, payments.has_fraudulent_dispute, payments.aci, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1297,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 1234 EUR?","payments.is_credit, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
46,What percentage of transactions have missing IP addresses and also have a fraudulent dispute?,"payments.ip_address, payments.has_fraudulent_dispute",,,"Answer must be just a number rounded to 3 decimal places. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1686,"For the 365th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?","payments.day_of_year, payments.merchant",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
3,How many transactions have missing IP addresses?,payments.ip_address,,,"Answer must be just a number. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1385,"For account type H and the MCC description: Fast Food Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals","merchant_data.account_type, merchant_category_codes.mcc, merchant_category_codes.description, fees.merchant_category_code, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2740,"For Martinis_Fine_Steakhouse in September, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?","payments.merchant, payments.year, payments.day_of_year, payments.has_fraudulent_dispute, payments.aci, fees.aci, fees.is_credit, merchant_data.capture_delay, payments.shopper_interaction",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
8,What is the most common shopper interaction type?,payments.shopper_interaction,payments.shopper_interaction,,"Answer must be just the name of the shopper interaction. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1465,What is the fee ID or IDs that apply to account_type = R and aci = C?,"fees.account_type, fees.aci",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2489,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=792 changed to 1?,"payments.merchant, payments.year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1646,"For account type F, what would be the average fee that the card scheme NexPay would charge for a transaction value of 4321 EUR? Provide the answer in EUR and 6 decimals.","merchant_data.account_type, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1277,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 50 EUR?","payments.is_credit, payments.card_scheme, payments.eur_amount, payments.acquirer_country, payments.issuing_country",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
