task_id,question,input_fields,output_field,answer,guidelines,level
2628,"Looking at the month of June, to which card scheme should the merchant Belles_cookbook_store steer traffic in order to pay the minimum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1462,"For a credit transaction of 10000 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
27,During which hour of the day do the most outlier transactions occur (using Z-Score > 3)?,,,,"Answer must be just a number representing the hour of the day. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
36,What is the average number of transactions per unique shopper based on email addresses?,,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1756,What were the applicable Fee IDs for Belles_cookbook_store in June 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
13,During which hour of the day do the most transactions occur?,,,,"Answer must be just a number representing the hour of the day. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1709,"For the 300th of the year 2023, what are the Fee IDs applicable to Rafa_AI?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
382,What is the average transaction value grouped by issuing_country for Belles_cookbook_store's SwiftCharge transactions between November and December 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1461,"For a credit transaction of 10000 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2553,"During 2023, imagine if the Fee with ID 64 was only applied to account type R, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1744,What are the applicable fee IDs for Martinis_Fine_Steakhouse in 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2547,"Imagine the merchant Martinis_Fine_Steakhouse had changed its MCC code to 7523 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2728,"For Crossfit_Hanna in July, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1467,What is the fee ID or IDs that apply to account_type = R and aci = E?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2412,In July 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=384 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2581,"Looking at the month of January, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic in order to pay the maximum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2768,"Looking at the year 2023 and at the merchant Crossfit_Hanna, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1698,"For the 365th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
623,What is the average transaction value grouped by device_type for Belles_cookbook_store's TransactPlus transactions between January and February 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2771,"Looking at the year 2023 and at the merchant Rafa_AI, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
5,Which issuing country has the highest number of transactions?,,,,"Answer must be just the country code. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2522,"In 2023, which merchants were affected by the Fee with ID 10?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
60,"Across these segments: merchant, issuer country, card_scheme, and shopper interaction, which segment has the worst fraud rate, that we should target for support?",,,,"Answer must be a comma separated list with this format: '[merchant], [issuer_country], [card_scheme], [shopper_interaction]'. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1508,"In the average scenario, which card scheme would provide the most expensive fee for a transaction value of 50 EUR?",,,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1295,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 5000 EUR?",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2623,"Looking at the month of May, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the maximum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1217,What is the average transaction value grouped by shopper_interaction for Rafa_AI's SwiftCharge transactions between May and June 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
67,Which factors contribute to a cheaper fee rate if the factors' value is increased?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2264,In April 2023 what delta would Martinis_Fine_Steakhouse pay if the relative fee of the fee with ID=12 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1704,"For the 365th of the year 2023, what are the Fee IDs applicable to Martinis_Fine_Steakhouse?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2463,In December 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=141 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1730,"For the 12th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1301,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 4321 EUR?",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1711,"For the 10th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2366,In February 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=17 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1750,What are the total fees (in euros) that Rafa_AI paid in 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
22,Is there a strong correlation (>0.5) between transaction amount and fraudulent disputes?,,,,"Answer must be just either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1817,What are the total fees (in euros) that Belles_cookbook_store paid in July 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2770,"Looking at the year 2023 and at the merchant Martinis_Fine_Steakhouse, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
20,Which merchant has the highest number of transactions?,,,,"Answer must be just the name of the merchant. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
29,Is the fraud rate of outliers higher than inliers (using Z-Score > 3) during the year 2023?,,,,"Answer must either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
69,What is the highest volume at which the fees do not become cheaper?,,,,"Answer must be just the string representing the volume as described in the context provided. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1728,"For the 365th of the year 2023, what is the total fees (in euros) that Golfclub_Baron_Friso should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
883,What is the average transaction value grouped by aci for Crossfit_Hanna's GlobalCard transactions between January and February 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1731,"For the 100th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
45,What is the most frequent card scheme among transactions with missing email addresses?,,,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1453,"For a credit transaction of 100 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1477,What is the fee ID or IDs that apply to account_type = H and aci = A?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
47,What percentage of high-value transactions (above the 90th percentile of amount) are made by repeat customers?,,,,"Answer must be just a number rounded to 3 decimal places. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
471,What is the average transaction value grouped by issuing_country for Rafa_AI's TransactPlus transactions between September and October 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1715,"For the 300th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1808,What were the applicable Fee IDs for Rafa_AI in October 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1446,"For a credit transaction of 1 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1688,"For the 12th of the year 2023, what are the Fee IDs applicable to Crossfit_Hanna?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
28,What percentage of outlier transactions are identified as fraudulent (using Z-Score > 3)?,,,,"Answer must be just a number rounded to 6 decimal places. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2521,"In 2023, which merchants were affected by the Fee with ID 1?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1299,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 1234 EUR?",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1676,"For account type S, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals.",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1420,"For account type H and the MCC description: Taxicabs and Limousines, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1447,"For a credit transaction of 10 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1365,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 4321 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
32,What percentage of the payments dataset is missing?,,,,"Answer must be just a number rounded to 3 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1434,"What is the most expensive MCC for a transaction of 5 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2526,"In 2023, which merchants were affected by the Fee with ID 709?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2719,"For Golfclub_Baron_Friso in May, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2229,In December 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=595 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2407,In June 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=787 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1459,"For a credit transaction of 10000 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
40,What percentage of transactions are considered high-value (above the 90th percentile of amount)?,,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1505,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 10 EUR?",,,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2132,In March 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=65 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2751,"For Rafa_AI in November, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1297,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 1234 EUR?",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
46,What percentage of transactions have missing IP addresses and also have a fraudulent dispute?,,,,"Answer must be just a number rounded to 3 decimal places. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1686,"For the 365th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
3,How many transactions have missing IP addresses?,,,,"Answer must be just a number. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1385,"For account type H and the MCC description: Fast Food Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2740,"For Martinis_Fine_Steakhouse in September, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
8,What is the most common shopper interaction type?,,,,"Answer must be just the name of the shopper interaction. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1465,What is the fee ID or IDs that apply to account_type = R and aci = C?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2489,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=792 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1646,"For account type F, what would be the average fee that the card scheme NexPay would charge for a transaction value of 4321 EUR? Provide the answer in EUR and 6 decimals.",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1277,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 50 EUR?",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1685,"For the 300th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1445,"For a credit transaction of 1 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1818,What are the total fees (in euros) that Belles_cookbook_store paid in August 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2523,"In 2023, which merchants were affected by the Fee with ID 12?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
26,Which merchant has the highest number of outlier transactions (using Z-Score > 3)?,,,,"Answer must be just the name of the merchant. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1473,What is the fee ID or IDs that apply to account_type = D and aci = D?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
17,What is the lowest avg fraud rate per merchant for the year 2023?,,,,"Answer must be just a number expressed as a percentage rounded to 6 decimal places. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1475,What is the fee ID or IDs that apply to account_type = D and aci = F?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1347,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 100 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1442,"What is the most expensive MCC for a transaction of 50000 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2316,In September 2023 what delta would Martinis_Fine_Steakhouse pay if the relative fee of the fee with ID=16 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1740,"For the 365th of the year 2023, what is the total fees (in euros) that Rafa_AI should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1474,What is the fee ID or IDs that apply to account_type = D and aci = E?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1837,What are the total fees (in euros) that Golfclub_Baron_Friso paid in March 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
341,What is the average transaction value grouped by issuing_country for Crossfit_Hanna's NexPay transactions between September and October 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2762,"Looking at the year 2023, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic to in order to pay the minimum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1683,"For the 100th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
916,What is the average transaction value grouped by aci for Rafa_AI's GlobalCard transactions between March and December 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1857,What are the total fees (in euros) that Martinis_Fine_Steakhouse paid in November 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
43,What is the average transaction amount per unique email?,,,,"Answer must be a number rounded to 3 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2481,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=384 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1775,What were the applicable Fee IDs for Golfclub_Baron_Friso in January 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2568,"During 2023, imagine if the Fee with ID 17 was only applied to account type F, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
72,What is the unique set of merchants in the dataset?,,,,"Answer must be a comma separated list of the merchant names. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1341,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 50 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2574,"During 2023, imagine if the Fee with ID 787 was only applied to account type F, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1518,"In the average scenario, which card scheme would provide the most expensive fee for a transaction value of 1234 EUR?",,,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2741,"For Rafa_AI in September, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
